stop_id,stop_name,stop_desc,stop_lat,stop_lon
100025,"GRAND CONCOURSE/E 161 ST","GRAND CONCOURSE & E 161 ST",  40.826617, -73.922643
100027,"GRAND CONCOURSE/E 165 ST","GRAND CONCOURSE & E 165 ST",  40.831320, -73.919940
100033,"GRAND CONCOURSE/MOUNT EDEN AV","GRAND CONCOURSE & MOUNT EDEN AV",  40.843405, -73.911639
100039,"GRAND CONCOURSE/E BURNSIDE AV","GRAND CONCOURSE & E BURNSIDE AV",  40.852124, -73.903580
100045,"GRAND CONCOURSE/E FORDHAM RD","GRAND CONCOURSE & E FORDHAM RD",  40.862958, -73.896434
100047,"GRAND CONCOURSE/E KINGSBRIDGE RD","GRAND CONCOURSE & E KINGSBRIDGE RD",  40.866628, -73.893663
100048,"GRAND CONCOURSE/E 196 ST","GRAND CONCOURSE & E 196 ST",  40.867955, -73.892642
100058,"SEDGWICK AV/VAN CORTLANDT AV WEST","SEDGWICK AV & VAN CORTLANDT AV WEST",  40.882828, -73.893138
100060,"SEDGWICK AV/GILES PL","SEDGWICK AV & GILES PL",  40.880924, -73.896698
100071,"HENRY HUDSON PKWY EAST/W 239 ST","HENRY HUDSON PKWY EAST & W 239 ST",  40.889520, -73.908064
100077,"RIVERDALE AV/W 236 ST","RIVERDALE AV & W 236 ST",  40.886238, -73.907112
100088,"SEDGWICK AV/FORT INDEPENDENCE ST","SEDGWICK AV & FORT INDEPENDENCE ST",  40.878632, -73.897751
100089,"SEDGWICK AV/GILES PL","SEDGWICK AV & GILES PL",  40.881547, -73.896430
100098,"GRAND CONCOURSE/BEDFORD PARK BLVD","GRAND CONCOURSE & BEDFORD PARK BLVD",  40.872085, -73.888252
100100,"GRAND CONCOURSE/E 196 ST","GRAND CONCOURSE & E 196 ST",  40.868130, -73.893171
100101,"GRAND CONCOURSE/EAST KINGSBRIDGE RD","GRAND CONCOURSE & EAST KINGSBRIDGE RD",  40.866021, -73.894766
100103,"GRAND CONCOURSE/EAST FORDHAM RD","GRAND CONCOURSE & EAST FORDHAM RD",  40.861909, -73.897737
